year	round	asset_id	reference_id	latitude	longitude
2002	11	layout-magny-cours-2	layout-magny-cours-2	46.863242	3.164228
2002	12	layout-hockenheimring-4	layout-hockenheimring-4	49.327778	8.565833
2002	13	layout-hungaroring-2	layout-hungaroring-2	47.582222	19.251111
2002	14	layout-spa-francorchamps-2	layout-spa-francorchamps-2	50.437222	5.971389
2002	15	layout-monza-7	layout-monza-7	45.620556	9.289444
2002	16	layout-indianapolis-2	layout-indianapolis-2	39.798333	-86.232778
2002	17	layout-suzuka-1	layout-suzuka-1	34.843056	136.540556
2003	1	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
2003	2	layout-sepang-1	layout-sepang-1	2.760556	101.7375
2003	3	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
2003	4	layout-imola-2	layout-imola-2	44.341111	11.713333
2003	5	layout-catalunya-2	layout-catalunya-2	41.57	2.261111
2003	6	layout-spielberg-3	layout-spielberg-3	47.219722	14.764722
2003	7	layout-monaco-6	layout-monaco-6	43.734722	7.420556
2003	8	layout-montreal-6	layout-montreal-6	45.500578	-73.522461
2003	9	layout-nurburgring-4	layout-nurburgring-4	50.335556	6.9475
2003	10	layout-magny-cours-3	layout-magny-cours-3	46.863242	3.164228
2003	11	layout-silverstone-7	layout-silverstone-7	52.078611	-1.016944
2003	12	layout-hockenheimring-4	layout-hockenheimring-4	49.327778	8.565833
2003	13	layout-hungaroring-3	layout-hungaroring-3	47.582222	19.251111
2003	14	layout-monza-7	layout-monza-7	45.620556	9.289444
2003	15	layout-indianapolis-2	layout-indianapolis-2	39.798333	-86.232778
2003	16	layout-suzuka-2	layout-suzuka-2	34.843056	136.540556
2004	1	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
2004	2	layout-sepang-1	layout-sepang-1	2.760556	101.7375
2004	3	layout-bahrain-1	layout-bahrain-1	26.0325	50.510556
2004	4	layout-imola-2	layout-imola-2	44.341111	11.713333
2004	5	layout-catalunya-3	layout-catalunya-3	41.57	2.261111
2004	6	layout-monaco-6	layout-monaco-6	43.734722	7.420556
2004	7	layout-nurburgring-4	layout-nurburgring-4	50.335556	6.9475
2004	8	layout-montreal-6	layout-montreal-6	45.500578	-73.522461
2004	9	layout-indianapolis-2	layout-indianapolis-2	39.798333	-86.232778
2004	10	layout-magny-cours-3	layout-magny-cours-3	46.863242	3.164228
2004	11	layout-silverstone-7	layout-silverstone-7	52.078611	-1.016944
2004	12	layout-hockenheimring-4	layout-hockenheimring-4	49.327778	8.565833
2004	13	layout-hungaroring-3	layout-hungaroring-3	47.582222	19.251111
2004	14	layout-spa-francorchamps-3	layout-spa-francorchamps-3	50.437222	5.971389
2004	15	layout-monza-7	layout-monza-7	45.620556	9.289444
2004	16	layout-shanghai-1	layout-shanghai-1	31.338889	121.219722
2004	17	layout-suzuka-2	layout-suzuka-2	34.843056	136.540556
2004	18	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
2005	1	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
2005	2	layout-sepang-1	layout-sepang-1	2.760556	101.7375
2005	3	layout-bahrain-1	layout-bahrain-1	26.0325	50.510556
2005	4	layout-imola-2	layout-imola-2	44.341111	11.713333
2005	5	layout-catalunya-3	layout-catalunya-3	41.57	2.261111
2005	6	layout-monaco-6	layout-monaco-6	43.734722	7.420556
2005	7	layout-nurburgring-4	layout-nurburgring-4	50.335556	6.9475
2005	8	layout-montreal-6	layout-montreal-6	45.500578	-73.522461
2005	9	layout-indianapolis-2	layout-indianapolis-2	39.798333	-86.232778
2005	10	layout-magny-cours-3	layout-magny-cours-3	46.863242	3.164228
2005	11	layout-silverstone-7	layout-silverstone-7	52.078611	-1.016944
2005	12	layout-hockenheimring-4	layout-hockenheimring-4	49.327778	8.565833
